id,feature_type,created_at,updated_at,name,description,state_name,releases,parent_id,parent_name,owner_name,tags,start_date,end_date,Realizadores ativos de assinatura,ZhipChat (sample),Effort,Prioritization  score,Melhorar gerenciamento de campanha de Assinaturas priority,Melhorar gerenciamento de campanha de Assinaturas value,Alcançar Product Market Fit em Assinaturas priority,Alcançar Product Market Fit em Assinaturas value,Reduzir Churn de Receita Mensal para < 2% priority,Reduzir Churn de Receita Mensal para < 2% value,Aumentar engajamento e satisfação de realizadores de assinatura priority,Aumentar engajamento e satisfação de realizadores de assinatura value,"Recompensas (apoio, gestão e entrega) priority","Recompensas (apoio, gestão e entrega) value"
901752,feature,2018-04-13 03:45:00 UTC,2021-08-05 07:46:28 UTC,Poder pagar períodos maiores de uma assinatura,"Como assinante de um projeto, quero poder pagar mais do que somente 1 mês a um projeto de assinatura.",Icebox,(Default Release Group) 2020,8924870,Assinar uma campanha no Catarse,Thiago Maia,"",,,,,13,2,1,20,,,,,3,100,,
905814,feature,2018-04-16 06:49:54 UTC,2021-08-05 07:44:58 UTC,Ter histórico de atividades da campanha de Assinatura separado por dia no Dashboard,"",Icebox,,8924852,Gerenciar minha campanha de assinaturas,Thiago Maia,"",,,,,8,3,1,20,1,60,,,2,60,,
905818,feature,2018-04-16 06:52:45 UTC,2021-07-13 01:57:05 UTC,Gerar segunda via de boleto sem precisar esperar a assinatura virar inativa,"",Done,,808180,Apoiar um projeto,Thiago Maia,"",,,,,5,9,,,,,2,40,,,,
917562,feature,2018-04-20 02:14:17 UTC,2021-07-13 01:57:05 UTC,Ter recibo de apoios mensais no perfil do apoiador,"",Done,,808180,Apoiar um projeto,Thiago Maia,"",,,,,3,6,,,3,100,,,,,,
917563,feature,2018-04-20 02:14:38 UTC,2019-06-26 07:59:42 UTC,Ter histórico de atividades de um assinante na Base de Assinantes,"",Done,,807812,Gerenciar um projeto,Thiago Maia,"",,,,,5,2,,,1,60,,,,,,
938602,feature,2018-05-01 06:03:00 UTC,2019-06-27 11:00:30 UTC,Email de waiting funds deveria reconhecer se o projeto foi bem-sucedido,"",Icebox,,865701,Acompanhar o andamento da minha campanha,Thiago Maia,"",,,,,3,7,,,,,,,,,,
938603,feature,2018-05-01 06:08:26 UTC,2021-07-13 01:57:05 UTC,Opção de reativar uma assinatura cancelada no perfil do usuário,"",Done,(Default Release Group) 2T 2019,808180,Apoiar um projeto,Thiago Maia,"",,,,,1,19,,,,,1,20,,,,
940732,feature,2018-05-02 04:39:24 UTC,2019-06-26 12:06:49 UTC,Funcionalidades entregues no Catarse Assinaturas,"",Icebox,,807811,Catarse,Thiago Maia,"",,,,,,,,,,,,,,,,
955118,feature,2018-05-07 23:41:44 UTC,2019-06-26 07:58:32 UTC,Ter opção de escolher Retirada Presencial associada ao Frete Nacional,"",Icebox,,2421529,Recompensas e fullfilment,Thiago Maia,"",,,,,1,0,,,,,,,,,,80
955120,feature,2018-05-07 23:43:36 UTC,2018-12-17 23:00:04 UTC,Ver andamento da transferência de recursos (saque) no perfil de usuário,"",Done,,808178,Receber dinheiro em minha conta bancária,Thiago Maia,"",,,,,3,12,3,60,2,40,,,,,,
955121,feature,2018-05-07 23:44:08 UTC,2020-06-25 10:07:19 UTC,Ter mais de 01 administrador por campanha,"",Icebox,(Default Release Group) 2020,865701,Acompanhar o andamento da minha campanha,Thiago Maia,"",,,,,40,1,2,20,,,,,1,40,,
957555,feature,2018-05-09 04:11:44 UTC,2018-12-14 00:37:37 UTC,Adicionar mais de uma faixa de recompensa ao enviar uma novidade,"",Done,,807813,Comunicar com apoiadores,Thiago Maia,"",,,,,7,4,,,2,100,,,,,,
957620,feature,2018-05-09 05:54:18 UTC,2021-08-05 07:45:15 UTC,"Receber por produção publicada, e não mensalmente, no Catarse Assinaturas","",Icebox,,8924893,Receber o dinheiro de minha campanha de assinaturas,Thiago Maia,"",,,,,40,1,1,20,1,100,,,1,60,,
957625,feature,2018-05-09 06:05:32 UTC,2021-08-05 07:46:18 UTC,"Reativar assinatura em ""um clique""","",Backlog,(Default Release Group) 2020,808330,Resgatar assinantes perdidos,Thiago Maia,"",,,,,8,5,1,20,1,40,,,2,80,,
962461,feature,2018-05-11 09:12:20 UTC,2019-06-26 09:32:12 UTC,Poder comentar em um post de novidades,"",Icebox,,2421471,Novidades (posts),Thiago Maia,"",,,,,40,2,,,1,80,,,2,60,,
962462,feature,2018-05-11 09:12:49 UTC,2019-06-26 07:53:33 UTC,Poder enviar imagens em alta definição no envio de novidades,"",Icebox,,2421471,Novidades (posts),Thiago Maia,"",,,,,3,11,,,,,,,2,40,,
